Filename,Car_Count,Full_Path
MMM1_MMM1_day_000055.jpg,44,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000055.jpg
MMM1_MMM1_day_000056.jpg,47,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000056.jpg
MMM1_MMM1_day_000057.jpg,45,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000057.jpg
MMM1_MMM1_day_000058.jpg,45,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000058.jpg
MMM1_MMM1_day_000059.jpg,47,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000059.jpg
MMM1_MMM1_day_000060.jpg,46,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000060.jpg
MMM1_MMM1_day_000061.jpg,44,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000061.jpg
MMM1_MMM1_day_000062.jpg,44,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000062.jpg
MMM1_MMM1_day_000063.jpg,48,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000063.jpg
MMM1_MMM1_day_000064.jpg,46,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000064.jpg
MMM1_MMM1_day_000065.jpg,52,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000065.jpg
MMM1_MMM1_day_000066.jpg,51,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000066.jpg
MMM1_MMM1_day_000067.jpg,47,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000067.jpg
MMM1_MMM1_day_000068.jpg,49,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000068.jpg
MMM1_MMM1_day_000069.jpg,50,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000069.jpg
MMM1_MMM1_day_000070.jpg,48,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000070.jpg
MMM1_MMM1_day_000071.jpg,50,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000071.jpg
MMM1_MMM1_day_000072.jpg,48,/home/bchidley/gpu_data/overlays/MMM1_MMM1_day_000072.jpg
